"R","Rmin","Rmax","dprime","dmin","dmax","AUROC","File","Task Condition","Fit type"
0.212044841449518,4.07904270578228e-05,0.352908545047833,0,3.13384721580352e-05,0.432748376891289,0.605984033759796,"../data/09RaN4UIEharoVW5g8y6_responses.xlsx","Sheet1","Conf"
0.0121767455655862,4.44832695970022e-05,0.115592593605578,0,3.13384721580352e-05,0.1001281689092,0.5060563158886,"../data/0byyJjFw7xaS6bv4Xbbl_responses.xlsx","Sheet1","Conf"
0.449531202411699,0.348882680425008,0.526085320089276,0,3.13384721580352e-05,0.387268042872663,0.724719692752387,"../data/0C3Qh8c36OkJxrrCDwUB_responses.xlsx","Sheet1","Conf"
0,4.06932362600074e-05,0.291543836188463,0.216471183588383,3.13384721580352e-05,0.579900891766824,0.560778007808494,"../data/0dJglgq09qU4bHYDfkET_responses.xlsx","Sheet1","Conf"
0.271387102782536,4.0709336481683e-05,0.477285077551057,1.16093043221786,0.620091562313603,1.67744998801118,0.849699947380486,"../data/0frgcAbRqChDchaRBwUo_responses.xlsx","Sheet1","Conf"
0.131838564093078,4.06965887365217e-05,0.223853670290363,0.705278831737415,0.39938456024342,1.02237454703237,0.731611041931956,"../data/0QdYxTabECPS8sKiqFTT_responses.xlsx","Sheet1","Conf"
0.0856674384161956,0.00757421637340181,0.165732383915003,0.280538618696878,0.0156262400516324,0.535279086830327,0.614662588388455,"../data/0VrYliuVSykEMQQiLToH_responses.xlsx","Sheet1","Conf"
0.408278651651764,0.119227587679017,0.543895942218362,0.441506778491841,8.14943934448948e-05,1.07900138733578,0.776572843454232,"../data/11qM4eXcxkc1hI23kKW9_responses.xlsx","Sheet1","Conf"
0.174363837038577,4.07231931152918e-05,0.387671065902001,0.0405676835694127,3.13384721580352e-05,0.409662900523813,0.59658958015234,"../data/15TRDE8yE1yymY1CUJF7_responses.xlsx","Sheet1","Conf"
0,6.60408543905442e-05,0.0575096293790601,0,3.13384721580352e-05,0.0899187870748272,0.499968328757859,"../data/18Qs0CslyhfR5XeoHYbb_responses.xlsx","Sheet1","Conf"
0.120625130310484,4.06943263471552e-05,0.540117852268922,0.455192484127517,8.13990967460703e-05,0.778034377609105,0.671228764666012,"../data/1ak7yQUoIX150qiE0LYe_responses.xlsx","Sheet1","Conf"
0.528006356051483,4.07193761688196e-05,0.731867099113956,0.757001239854466,8.16022148604592e-05,1.55039692280615,0.860032712993416,"../data/1OAr1dV6PSYYmDOGGm1L_responses.xlsx","Sheet1","Conf"
0.178584113730287,4.0706388943671e-05,0.424062850478742,0.635345398451153,0.114718533462254,1.03320732630051,0.731589606181387,"../data/20kmkNdmxVqWCIS3cNfy_responses.xlsx","Sheet1","Conf"
0.429253374881621,0.0704732934004903,0.57293219460478,0.818589065286495,0.344166882568522,1.37953689272153,0.839252180736821,"../data/26Y7x8Mxrs2uYKsOK6Me_responses.xlsx","Sheet1","Conf"
0,5.76738391358371e-05,0.107271902676394,0,3.13384721580352e-05,0.0994762648931885,0.499968328757859,"../data/2BU3ABHCxKPryrTskobX_responses.xlsx","Sheet1","Conf"
0.0212100880739885,4.08674368231151e-05,0.0948291109414901,0.191080496209907,8.14535314711478e-05,0.4580288210146,0.563156815936054,"../data/35dAEhLbJITN0UNcxYTm_responses.xlsx","Sheet1","Conf"
0,4.57635529148633e-05,0.10115005798212,0,3.13384721580352e-05,0.103078257488102,0.499968328757859,"../data/3gjgXV5oRLIHsS9R4idI_responses.xlsx","Sheet1","Conf"
0.175861174039069,4.07029353334001e-05,0.383565568136822,0.708704013140097,0.235545842390206,1.13120831753013,0.745915301853529,"../data/3PwxlD6Y7RDPN1Ctf82w_responses.xlsx","Sheet1","Conf"
0.396865049946298,0.114294135252162,0.50346983213539,0.837471974326261,0.419253389399589,1.38161795858737,0.832840505830063,"../data/3U0or9D0yXooHchaEbQ4_responses.xlsx","Sheet1","Conf"
0,4.57763637185456e-05,0.0441630887456423,0,3.13384721580352e-05,0.178990356232142,0.499968328757859,"../data/42EdqEDitqM3OH15Uyya_responses.xlsx","Sheet1","Conf"
0,4.07040939323562e-05,0.19721290948295,0.591580470718948,0.229337717758034,0.813301055521768,0.662033932406757,"../data/4gycIiueXXKkAQ0sPtji_responses.xlsx","Sheet1","Conf"
0,4.07037481454664e-05,0.904640794895601,2.50532341234789,8.14436387015968e-05,2.76405646310564,0.95875972896556,"../data/4o9gKp3jnoFy8J2pmGVh_responses.xlsx","Sheet1","Conf"
